Date,Value,Change
2019,43.24,-2.30
2018,44.25,1.33
2017,43.67,-0.58
2016,43.92,-3.00
2015,45.28,1.170
2014,44.76,-2.38
2013,45.85,-5.40
2012,48.47,-2.52
2011,49.72,3.94
2010,47.83,2.95
2009,46.46,-3.40
2008,48.10,
2007,46.91,
2006,43.14,
2005,40.92,
2004,37.09,
2003,32.55,
2002,28.29,
2001,26.27,
2000,23.95,
1999,23.13,
1998,20.67,
1997,18.94,
1996,16.36,
